bytes_hex,tid,comment
00,8,'\x00'
01,9,'\x01'
02,10,'\x02'
03,11,'\x03'
04,12,'\x04'
05,13,'\x05'
06,14,'\x06'
07,15,'\x07'
08,16,'\x08'
09,17,'\t'
0a,18,'\n'
0b,19,'\x0b'
0c,20,'\x0c'
0d,21,'\r'
0e,22,'\x0e'
0f,23,'\x0f'
10,24,'\x10'
11,25,'\x11'
12,26,'\x12'
13,27,'\x13'
14,28,'\x14'
15,29,'\x15'
16,30,'\x16'
17,31,'\x17'
18,32,'\x18'
19,33,'\x19'
1a,34,'\x1a'
1b,35,'\x1b'
1c,36,'\x1c'
1d,37,'\x1d'
1e,38,'\x1e'
1f,39,'\x1f'
20,40,' '
21,41,'!'
22,42,"'""'"
23,43,'#'
24,44,'$'
25,45,'%'
26,46,'&'
27,47,"""'"""
28,48,'('
29,49,')'
2a,50,'*'
2b,51,'+'
2c,52,"','"
2d,53,'-'
2e,54,'.'
2f,55,'/'
30,56,'0'
31,57,'1'
32,58,'2'
33,59,'3'
34,60,'4'
35,61,'5'
36,62,'6'
37,63,'7'
38,64,'8'
39,65,'9'
3a,66,':'
3b,67,';'
3c,68,'<'
3d,69,'='
3e,70,'>'
3f,71,'?'
40,72,'@'
41,73,'A'
42,74,'B'
43,75,'C'
44,76,'D'
45,77,'E'
46,78,'F'
47,79,'G'
48,80,'H'
49,81,'I'
4a,82,'J'
4b,83,'K'
4c,84,'L'
4d,85,'M'
4e,86,'N'
4f,87,'O'
50,88,'P'
51,89,'Q'
52,90,'R'
53,91,'S'
54,92,'T'
55,93,'U'
56,94,'V'
57,95,'W'
58,96,'X'
59,97,'Y'
5a,98,'Z'
5b,99,'['
5c,100,'\\'
5d,101,']'
5e,102,'^'
5f,103,'_'
60,104,'`'
61,105,'a'
62,106,'b'
63,107,'c'
64,108,'d'
65,109,'e'
66,110,'f'
67,111,'g'
68,112,'h'
69,113,'i'
6a,114,'j'
6b,115,'k'
6c,116,'l'
6d,117,'m'
6e,118,'n'
6f,119,'o'
70,120,'p'
71,121,'q'
72,122,'r'
73,123,'s'
74,124,'t'
75,125,'u'
76,126,'v'
77,127,'w'
78,128,'x'
79,129,'y'
7a,130,'z'
7b,131,'{'
7c,132,'|'
7d,133,'}'
7e,134,'~'
7f,135,'\x7f'
80,136,'\udc80'
81,137,'\udc81'
82,138,'\udc82'
83,139,'\udc83'
84,140,'\udc84'
85,141,'\udc85'
86,142,'\udc86'
87,143,'\udc87'
88,144,'\udc88'
89,145,'\udc89'
8a,146,'\udc8a'
8b,147,'\udc8b'
8c,148,'\udc8c'
8d,149,'\udc8d'
8e,150,'\udc8e'
8f,151,'\udc8f'
90,152,'\udc90'
91,153,'\udc91'
92,154,'\udc92'
93,155,'\udc93'
94,156,'\udc94'
95,157,'\udc95'
96,158,'\udc96'
97,159,'\udc97'
98,160,'\udc98'
99,161,'\udc99'
9a,162,'\udc9a'
9b,163,'\udc9b'
9c,164,'\udc9c'
9d,165,'\udc9d'
9e,166,'\udc9e'
9f,167,'\udc9f'
a0,168,'\udca0'
a1,169,'\udca1'
a2,170,'\udca2'
a3,171,'\udca3'
a4,172,'\udca4'
a5,173,'\udca5'
a6,174,'\udca6'
a7,175,'\udca7'
a8,176,'\udca8'
a9,177,'\udca9'
aa,178,'\udcaa'
ab,179,'\udcab'
ac,180,'\udcac'
ad,181,'\udcad'
ae,182,'\udcae'
af,183,'\udcaf'
b0,184,'\udcb0'
b1,185,'\udcb1'
b2,186,'\udcb2'
b3,187,'\udcb3'
b4,188,'\udcb4'
b5,189,'\udcb5'
b6,190,'\udcb6'
b7,191,'\udcb7'
b8,192,'\udcb8'
b9,193,'\udcb9'
ba,194,'\udcba'
bb,195,'\udcbb'
bc,196,'\udcbc'
bd,197,'\udcbd'
be,198,'\udcbe'
bf,199,'\udcbf'
c0,200,'\udcc0'
c1,201,'\udcc1'
c2,202,'\udcc2'
c3,203,'\udcc3'
c4,204,'\udcc4'
c5,205,'\udcc5'
c6,206,'\udcc6'
c7,207,'\udcc7'
c8,208,'\udcc8'
c9,209,'\udcc9'
ca,210,'\udcca'
cb,211,'\udccb'
cc,212,'\udccc'
cd,213,'\udccd'
ce,214,'\udcce'
cf,215,'\udccf'
d0,216,'\udcd0'
d1,217,'\udcd1'
d2,218,'\udcd2'
d3,219,'\udcd3'
d4,220,'\udcd4'
d5,221,'\udcd5'
d6,222,'\udcd6'
d7,223,'\udcd7'
d8,224,'\udcd8'
d9,225,'\udcd9'
da,226,'\udcda'
db,227,'\udcdb'
dc,228,'\udcdc'
dd,229,'\udcdd'
de,230,'\udcde'
df,231,'\udcdf'
e0,232,'\udce0'
e1,233,'\udce1'
e2,234,'\udce2'
e3,235,'\udce3'
e4,236,'\udce4'
e5,237,'\udce5'
e6,238,'\udce6'
e7,239,'\udce7'
e8,240,'\udce8'
e9,241,'\udce9'
ea,242,'\udcea'
eb,243,'\udceb'
ec,244,'\udcec'
ed,245,'\udced'
ee,246,'\udcee'
ef,247,'\udcef'
f0,248,'\udcf0'
f1,249,'\udcf1'
f2,250,'\udcf2'
f3,251,'\udcf3'
f4,252,'\udcf4'
f5,253,'\udcf5'
f6,254,'\udcf6'
f7,255,'\udcf7'
f8,256,'\udcf8'
f9,257,'\udcf9'
fa,258,'\udcfa'
fb,259,'\udcfb'
fc,260,'\udcfc'
fd,261,'\udcfd'
fe,262,'\udcfe'
ff,263,'\udcff'
6865,264,'he'
2074,265,' t'
2061,266,' a'
2073,267,' s'
6564,268,'ed'
20746865,269,' the'
696e,270,'in'
2077,271,' w'
2066,272,' f'
7265,273,'re'
6e64,274,'nd'
2062,275,' b'
6f75,276,'ou'
206865,277,' he'
6572,278,'er'
2063,279,' c'
696e67,280,'ing'
2068,281,' h'
206f,282,' o'
206c,283,' l'
6974,284,'it'
6172,285,'ar'
20746f,286,' to'
6174,287,'at'
20616e64,288,' and'
2064,289,' d'
6973,290,'is'
616e,291,'an'
546865,292,'The'
206d,293,' m'
6c6c,294,'ll'
656e,295,'en'
6173,296,'as'
20546865,297,' The'
6f72,298,'or'
6573,299,'es'
2070,300,' p'
2067,301,' g'
656c,302,'el'
6768,303,'gh'
207468,304,' th'
6f77,305,'ow'
20696e,306,' in'
206f66,307,' of'
6f6e,308,'on'
207374,309,' st'
206e,310,' n'
6c64,311,'ld'
6164,312,'ad'
6972,313,'ir'
676874,314,'ght'
6964,315,'id'
20686572,316,' her'
6574,317,'et'
20736865,318,' she'
6f6d,319,'om'
2065,320,' e'
6163,321,'ac'
20776173,322,' was'
7574,323,'ut'
7269,324,'ri'
696d,325,'im'
697468,326,'ith'
7374,327,'st'
6179,328,'ay'
6c65,329,'le'
616d,330,'am'
207368,331,' sh'
206974,332,' it'
2053,333,' S'
6f74,334,'ot'
206265,335,' be'
207265,336,' re'
2074686579,337,' they'
2049,338,' I'
2077697468,339,' with'
616c,340,'al'
6c79,341,'ly'
6963,342,'ic'
2072,343,' r'
6f6f,344,'oo'
766572,345,'ver'
686572,346,'her'
2048,347,' H'
6b6564,348,'ked'
206c69,349,' li'
6b65,350,'ke'
2074686174,351,' that'
7665,352,'ve'
207361,353,' sa'
656c74,354,'elt'
2066656c74,355,' felt'
206f6e,356,' on'
206a,357,' j'
6f756e64,358,'ound'
2054686579,359,' They'
